Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
no response,245,2SEMESTERS20OFF,768.0,Corporate Events,mid,29.0,operations,Outbound,Closed Lost
No Loss,3,2SEMESTERS20SALE,576.0,Corporate Events,mid,11.0,operations,Outbound,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,1.0,operations,Inbound,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,30.0,quality of delivery,Outbound,Closed Won
No Loss,215,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,BIANNUAL20,960.0,Educational Seminars,mid,122.0,operations,Inbound,Closed Won
No Loss,0,No Discount,0.0,Corporate Events,low,308.0,quality of delivery,Inbound,Negotiation
No Loss,-1,DISCOUNT50POWER,240.0,Corporate Events,low,504.0,financial control,Inbound,Demo 1
No Loss,43,No Discount,360.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Demo 1
No Loss,0,25GIFT,200.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Won
No Loss,214,SLASH10,324.0,Educational Seminars,low,0.0,financial control,Outbound,Closed Won
No Loss,112,No Discount,360.0,Unknown,low,242.0,quality of delivery,Outbound,Demo 1
No Loss,0,BIANNUAL20,960.0,Corporate Events,mid,0.0,operations,Outbound,Negotiation
No Loss,42,No Discount,360.0,Corporate Events,low,4.0,operations,Outbound,Demo 1
no product fit,0,No Discount,0.0,Educational Seminars,low,6.0,operations,Outbound,Closed Lost
No Loss,31,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,operations,Inbound,Negotiation
No Loss,0,RENEWYEAR30,1008.0,Educational Seminars,mid,123.0,Unknown,Outbound,Negotiation
No Loss,19,MONTH50CUTBACK,300.0,Corporate Events,low,10.0,operations,Inbound,Closed Won
No Loss,0,SAVE25LESS,360.0,Corporate Events,low,60.0,operations,Inbound,Negotiation
No Loss,0,SAVEMORE50,300.0,Sports Events,low,-1.0,financial control,Unknown,Closed Won
No Loss,0,No Discount,0.0,Corporate Events,low,92.0,financial control,Inbound,Negotiation
No Loss,0,SAVEMORE50,300.0,Educational Seminars,low,3.0,financial control,Outbound,Negotiation
no response,11,No Discount,0.0,Educational Seminars,low,-1.0,financial control,Outbound,Closed Lost
no budget,27,No Discount,360.0,Wedding Planning,low,-1.0,Unknown,Unknown,Closed Lost
No Loss,203,No Discount,360.0,Educational Seminars,low,-1.0,financial control,Unknown,Demo 1
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,345.0,operations,Inbound,Closed Won
No Loss,0,NOCOSTREG,120.0,Educational Seminars,low,0.0,Unknown,Outbound,Closed Won
No Loss,0,QUARTERLY75OFF,14876.0,Corporate Events,high,-1.0,Unknown,Unknown,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Won
no product fit,0,No Discount,200.0,Corporate Events,low,30.0,operations,Inbound,Closed Lost
No Loss,0,SAVEMONTH50G,240.0,Sports Events,low,-1.0,operations,Inbound,Closed Won
No Loss,0,2SEMESTERS20SALE,576.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Won
lost to competitor,0,No Discount,200.0,Educational Seminars,low,2.0,Unknown,Outbound,Closed Lost
lost to competitor,5,No Discount,200.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
not target,0,2SEMESTERS20SALE,576.0,Corporate Events,mid,6.0,operations,Outbound,Closed Lost
lost to competitor,2,2SEMESTERS20OFF,768.0,Corporate Events,mid,2.0,quality of delivery,Inbound,Closed Lost
No Loss,0,ANNUAL60DEAL,960.0,Corporate Events,mid,-1.0,Unknown,Unknown,Closed Won
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,-1.0,quality of delivery,Outbound,Closed Won
no response,61,No Discount,240.0,Corporate Events,low,-1.0,quality of delivery,Inbound,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,120.0,financial control,Inbound,Closed Won
