Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,2.0,Unknown,Outbound,Closed Won
not target,11,No Discount,200.0,Corporate Events,low,129.0,quality of delivery,Inbound,Closed Lost
no response,1,ANNUAL60DEAL,960.0,Corporate Events,mid,69.0,time saving,Inbound,Closed Lost
No Loss,0,ECONOMY75DISCOUNT,150.0,Corporate Events,low,233.0,financial control,Inbound,Closed Won
No Loss,0,RENEWYEAR30,1008.0,Sports Events,mid,1.0,operations,Outbound,Closed Won
lost to competitor,1,YEARLY30PROMO,1344.0,Corporate Events,mid,2.0,operations,Inbound,Closed Lost
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,122.0,Unknown,Inbound,Checkbox
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,Unknown,Unknown,Closed Won
no product fit,12,No Discount,200.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Lost
No Loss,0,SAVEMONTH50SPECIAL,200.0,Corporate Events,low,31.0,operations,Inbound,Closed Won
No Loss,0,SAVEMONTH50G,240.0,Sports Events,low,0.0,operations,Inbound,Closed Won
No Loss,0,SAVEMORE50,300.0,Educational Seminars,low,-1.0,Unknown,Unknown,Negotiation
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,0.0,Unknown,Outbound,Closed Won
No Loss,1,YEARLY60,960.0,Sports Events,mid,0.0,financial control,Outbound,Closed Won
No Loss,31,PROMOTIONCODE,600.0,Corporate Events,mid,543.0,Unknown,Inbound,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,120.0,operations,Outbound,Closed Won
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Won
No Loss,30,25GIFT,360.0,Sports Events,low,92.0,quality of delivery,Inbound,Closed Won
No Loss,122,MONTH50REBATE,240.0,Corporate Events,low,1.0,financial control,Inbound,Closed Won
No Loss,0,HALFSEASON20G,576.0,Sports Events,mid,0.0,financial control,Inbound,Closed Won
No Loss,7,RENEWYEAR30,1008.0,Educational Seminars,mid,-1.0,quality of delivery,Unknown,Closed Won
not target,61,No Discount,200.0,Corporate Events,low,-1.0,operations,Outbound,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,30.0,financial control,Outbound,Closed Won
no response,76,No Discount,960.0,Sports Events,mid,-1.0,financial control,Unknown,Closed Lost
No Loss,62,HALFYEAR20G,768.0,Educational Seminars,mid,122.0,quality of delivery,Inbound,Closed Won
no response,6,No Discount,200.0,Corporate Events,low,0.0,operations,Inbound,Closed Lost
No Loss,153,TRIALFREE,450.0,Corporate Events,low,91.0,financial control,Outbound,Closed Won
No Loss,0,HALFSEASON20G,576.0,Educational Seminars,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,SAVE25LESS,360.0,Corporate Events,low,1.0,operations,Inbound,Closed Won
no response,8,No Discount,200.0,Corporate Events,low,3.0,operations,Outbound,Closed Lost
No Loss,0,SEMESTER20DEALAGAIN,960.0,Corporate Events,mid,1.0,operations,Outbound,Closed Won
No Loss,0,ECONOMY75DISCOUNT,14870.0,Corporate Events,high,-1.0,operations,Unknown,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
lost to competitor,36,SAVEMONTH50SPECIAL,200.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Lost
no response,175,SAVINGSLIGHT,200.0,Corporate Events,low,-1.0,Unknown,Unknown,Closed Lost
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
lost to competitor,31,No Discount,200.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,SEMESTER20DEALAGAIN,960.0,Corporate Events,mid,0.0,Unknown,Inbound,Checkbox
no response,16,No Discount,600.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Lost
no response,0,No Discount,360.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,7,YEARLY30PROMO,1344.0,Corporate Events,mid,-1.0,quality of delivery,Inbound,Closed Won
No Loss,0,RENEWYEAR30,1008.0,Sports Events,mid,-1.0,financial control,Unknown,Closed Won
price,2,SAVEMONTH50G,240.0,Sports Events,low,-1.0,operations,Unknown,Closed Lost
lost to competitor,6,No Discount,200.0,Educational Seminars,low,1.0,operations,Inbound,Closed Lost
No Loss,0,10OFFREDUCED,32396.0,Corporate Events,high,160.0,quality of delivery,Inbound,Closed Won
No Loss,1,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,YEARLY30PROMO,1344.0,Sports Events,mid,-1.0,Unknown,Unknown,Closed Won
no response,-1,No Discount,324.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
no response,-1,No Discount,200.0,Sports Events,low,31.0,operations,Outbound,Closed Lost
no response,-1,No Discount,360.0,Corporate Events,low,31.0,operations,Inbound,Closed Lost
lost to competitor,-1,YEARLY30PROMO,1344.0,Corporate Events,mid,-1.0,financial control,Unknown,Closed Lost
lost to competitor,-1,SAVINGSLIGHT,200.0,Corporate Events,low,61.0,operations,Inbound,Closed Lost
lost to competitor,-1,No Discount,200.0,Corporate Events,low,0.0,operations,Inbound,Closed Lost
no product fit,0,No Discount,200.0,Corporate Events,low,-1.0,time saving,Unknown,Closed Lost
No Loss,30,YEARLY30PROMO,1344.0,Corporate Events,mid,105.0,operations,Inbound,Closed Won
no budget,2,No Discount,0.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,2SEMESTERS20SALE,576.0,Corporate Events,mid,1.0,operations,Inbound,Checkbox
No Loss,-1,SAVEMONTH50G,240.0,Sports Events,low,-1.0,operations,Unknown,Closed Won
No Loss,-1,DISCOUNT25QUICK,360.0,Sports Events,low,-1.0,financial control,Unknown,Checkbox
No Loss,1,MONTH75SPECIAL,14876.0,Educational Seminars,high,-1.0,financial control,Unknown,Closed Won
No Loss,0,YEARLY30DISCOUNT,1680.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
price,5,HALFYEAR20G,200.0,Sports Events,low,1.0,operations,Outbound,Closed Lost
No Loss,44,MINIMALIST,500.0,Sports Events,low,-1.0,Unknown,Unknown,Demo 1
No Loss,4,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,Unknown,Unknown,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
no response,-1,SEMESTER20MINI,200.0,Corporate Events,low,0.0,Unknown,Inbound,Closed Lost
No Loss,0,ANNUAL30BONUS,1344.0,Educational Seminars,mid,-1.0,operations,Unknown,Closed Won
No Loss,31,SAVEMONTH50SPECIAL,300.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
lost to competitor,62,No Discount,1344.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Lost
no response,122,No Discount,200.0,Corporate Events,low,39.0,operations,Inbound,Closed Lost
No Loss,0,TRIALFREE,450.0,Corporate Events,low,61.0,quality of delivery,Inbound,Closed Won
price,31,No Discount,768.0,Sports Events,mid,31.0,operations,Inbound,Closed Lost
No Loss,-1,SAVE25LESS,360.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
not target,31,SHINE50,200.0,Corporate Events,low,92.0,operations,Outbound,Closed Lost
lost to competitor,0,No Discount,200.0,Corporate Events,low,61.0,operations,Outbound,Closed Lost
not target,-1,HALFSEASON20G,576.0,Educational Seminars,mid,1.0,operations,Inbound,Closed Lost
No Loss,0,ANNUAL60DEAL,960.0,Corporate Events,mid,40.0,operations,Inbound,Closed Won
No Loss,2,CUTBACK75SPECIAL,150.0,Sports Events,low,7.0,operations,Inbound,Closed Won
No Loss,0,10OFFREDUCED,324.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
not target,-1,ANNUAL60DEAL,960.0,Corporate Events,mid,1.0,operations,Inbound,Closed Lost
No Loss,475,SAVEMONTH50G,240.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Won
No Loss,-1,HALFYEAR20G,768.0,Educational Seminars,mid,8.0,financial control,Inbound,Closed Won
No Loss,0,SLASH10,324.0,Sports Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,No Discount,360.0,Corporate Events,low,5.0,operations,Outbound,Negotiation
no response,2,No Discount,200.0,Corporate Events,low,0.0,financial control,Inbound,Closed Lost
no budget,296,ECONOMY50SPECIAL,200.0,Sports Events,low,-1.0,operations,Unknown,Closed Lost
no response,204,SAVEQUARTER25,450.0,Sports Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,YEARLY30PROMO,1344.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
lost to competitor,163,No Discount,360.0,Corporate Events,low,0.0,quality of delivery,Inbound,Closed Lost
price,170,SAVE25LESS,360.0,Corporate Events,low,0.0,operations,Inbound,Closed Lost
No Loss,1,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
price,1,No Discount,200.0,Corporate Events,low,1.0,operations,Inbound,Closed Lost
No Loss,9,SAVEMONTH50G,240.0,Sports Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,PROMOTIONCODE,600.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Won
No Loss,0,YEARLY30PROMO,1344.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
no response,65,SAVINGSLIGHT,200.0,Educational Seminars,low,1.0,operations,Inbound,Closed Lost
No Loss,0,SEMESTER20DEALAGAIN,960.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Won
No Loss,92,2SEMESTERS20OFF,768.0,Corporate Events,mid,1.0,operations,Inbound,Closed Won
No Loss,0,10OFFREDUCED,32396.0,Corporate Events,high,0.0,operations,Inbound,Closed Won
no product fit,0,No Discount,200.0,Educational Seminars,low,184.0,operations,Inbound,Closed Lost
No Loss,0,SEMESTER20DEALAGAIN,960.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,YEARLY30PROMO,1344.0,Corporate Events,mid,61.0,operations,Outbound,Closed Won
No Loss,0,SAVE25LESS,360.0,Corporate Events,low,30.0,financial control,Inbound,Closed Won
no response,-1,LITEDEAL,200.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,-1,ANNUAL60DEAL,960.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,1,No Discount,0.0,Unknown,low,-1.0,operations,Unknown,Closed Won
no response,1,No Discount,140.0,Sports Events,low,0.0,financial control,Inbound,Closed Lost
price,3,SEMESTER20MINI,200.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,ANNUAL30BONUS,1344.0,Educational Seminars,mid,2.0,quality of delivery,Inbound,Closed Won
No Loss,0,QUARTERLY75OFF,150.0,Corporate Events,low,6.0,operations,Inbound,Closed Won
no response,32,No Discount,1350.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Lost
no decision,20,PROMOTIONCODE,1500.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,0,ANNUAL60DEAL,960.0,Corporate Events,mid,3.0,financial control,Inbound,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,Unknown,Inbound,Closed Won
No Loss,0,SEMESTER20DEALAGAIN,960.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
no response,-1,No Discount,1008.0,Educational Seminars,mid,31.0,quality of delivery,Outbound,Closed Lost
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
No Loss,0,No Discount,360.0,Unknown,low,-1.0,Unknown,Unknown,Demo 1
lost to competitor,122,SAVINGSLIGHT,200.0,Corporate Events,low,0.0,Unknown,Inbound,Closed Lost
no response,-1,No Discount,576.0,Corporate Events,mid,212.0,operations,Inbound,Closed Lost
No Loss,0,YEARLY30PROMO,1344.0,Corporate Events,mid,0.0,operations,Inbound,Closed Won
No Loss,0,TRIALFREE,450.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
No Loss,31,MONTH50REBATE,240.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
price,-1,SEVENTYFIVEANNUAL,576.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,0.0,operations,Outbound,Closed Won
No Loss,91,DISCOUNT25QUICK,360.0,Unknown,low,-1.0,Unknown,Unknown,Closed Won
lost to competitor,1,ANNUAL30BONUS,1344.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Lost
No Loss,1,MONTH75SPECIAL,150.0,Educational Seminars,low,1.0,operations,Inbound,Closed Won
No Loss,1,SLASH10,324.0,Educational Seminars,low,-1.0,quality of delivery,Unknown,Closed Won
no response,0,No Discount,200.0,Sports Events,low,-1.0,operations,Unknown,Closed Lost
no response,0,No Discount,200.0,Educational Seminars,low,1.0,operations,Outbound,Closed Lost
not target,-1,MONTH50REBATE,240.0,Corporate Events,low,2.0,operations,Inbound,Closed Lost
No Loss,0,ECONOMY75DISCOUNT,14876.0,Corporate Events,high,-1.0,operations,Unknown,Closed Won
No Loss,31,SAVE25LESS,360.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
No Loss,175,ECONOMY50GIFT,240.0,Sports Events,low,-1.0,operations,Unknown,Closed Won
lost to competitor,161,No Discount,324.0,Educational Seminars,low,0.0,quality of delivery,Inbound,Closed Lost
price,0,No Discount,200.0,Corporate Events,low,0.0,quality of delivery,Inbound,Closed Lost
No Loss,31,DISCOUNT50POWER,240.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
no response,171,MONTH50REBATE,240.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,0,YEARLY60,960.0,Educational Seminars,mid,-1.0,operations,Unknown,Closed Won
price,0,No Discount,200.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
other,0,No Discount,324.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,DOUBLE25SAVING,51744.0,Sports Events,extra_high,-1.0,operations,Unknown,Closed Won
No Loss,0,DISCOUNT25QUICK,360.0,Educational Seminars,low,-1.0,operations,Unknown,Checkbox
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,-1,SAVE25LESS,360.0,Corporate Events,low,30.0,operations,Inbound,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,122.0,operations,Inbound,Closed Won
not target,4,DISCOUNT50POWER,240.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
lost to competitor,77,TRIALFREE,450.0,Corporate Events,low,-1.0,operations,Outbound,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
no budget,4,SAVINGSLIGHT,200.0,Sports Events,low,-1.0,operations,Inbound,Closed Lost
not target,15,No Discount,600.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Lost
No Loss,0,10OFFREDUCED,324.0,Corporate Events,low,0.0,operations,Inbound,Checkbox
No Loss,42,MONTH75SPECIAL,14876.0,Sports Events,high,-1.0,operations,Inbound,Closed Won
no response,85,No Discount,324.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,0.0,Unknown,Inbound,Closed Won
No Loss,0,No Discount,768.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Negotiation
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,0.0,quality of delivery,Outbound,Closed Won
no budget,2,ECONOMY75DISCOUNT,150.0,Corporate Events,low,4.0,financial control,Inbound,Closed Lost
No Loss,0,YEARLY60,960.0,Educational Seminars,mid,1.0,operations,Inbound,Closed Won
No Loss,1,4SEMESTERS40DEAL,720.0,Corporate Events,mid,0.0,operations,Inbound,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,114.0,operations,Inbound,Closed Won
no budget,1,No Discount,200.0,Corporate Events,low,0.0,operations,Outbound,Closed Lost
No Loss,0,MONTH75SPECIAL,14870.0,Educational Seminars,high,62.0,quality of delivery,Outbound,Closed Won
No Loss,0,MONTH75SPECIAL,150.0,Sports Events,low,-1.0,financial control,Unknown,Closed Won
No Loss,-1,ECONOMY75DISCOUNT,14876.0,Corporate Events,high,-1.0,operations,Unknown,Closed Won
no response,-1,No Discount,768.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Lost
no budget,63,No Discount,324.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,9,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,operations,Unknown,Closed Won
No Loss,-1,2SEMESTERS20SALE,576.0,Corporate Events,mid,-1.0,Unknown,Unknown,Closed Won
No Loss,0,ANNUAL30BONUS,1344.0,Sports Events,mid,-1.0,quality of delivery,Unknown,Closed Won
price,30,SLASH10,32396.0,Sports Events,high,0.0,operations,Inbound,Closed Lost
lost to competitor,1,No Discount,768.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Lost
no product fit,0,No Discount,240.0,Educational Seminars,low,0.0,financial control,Outbound,Closed Lost
No Loss,1,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,ANNUAL30BONUS,133594.0,Sports Events,extra_high,1.0,time saving,Inbound,Closed Won
no decision,1,No Discount,240.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Lost
No Loss,3,YEARLY30PROMO,1344.0,Corporate Events,mid,0.0,operations,Inbound,Closed Won
not target,242,SAVE25LESS,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,212,HALFYEAR20G,768.0,Sports Events,mid,-1.0,time saving,Unknown,Closed Won
No Loss,59,TRIALFREE,450.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,YEARLY30DISCOUNT,1680.0,Corporate Events,mid,0.0,operations,Outbound,Closed Won
No Loss,0,DISCOUNT50POWER,240.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Checkbox
No Loss,116,YEARLY60,960.0,Educational Seminars,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,0.0,operations,Inbound,Closed Won
no budget,31,No Discount,150.0,Corporate Events,low,28.0,operations,Inbound,Closed Lost
No Loss,189,ANNUAL60DEAL,960.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,245,2SEMESTERS20SALE,576.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
no response,101,No Discount,324.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,No Discount,600.0,Corporate Events,mid,0.0,operations,Inbound,Closed Won
lost to competitor,41,No Discount,768.0,Corporate Events,mid,-1.0,financial control,Unknown,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,1.0,quality of delivery,Inbound,Closed Won
No Loss,7,MONTH50REBATE,240.0,Corporate Events,low,-1.0,quality of delivery,Inbound,Closed Won
price,41,No Discount,768.0,Corporate Events,mid,102.0,quality of delivery,Inbound,Closed Lost
No Loss,7,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
price,1,No Discount,200.0,Sports Events,low,-1.0,financial control,Inbound,Closed Lost
No Loss,0,YEARLY30DISCOUNT,1680.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Won
no product fit,0,No Discount,18150.0,Corporate Events,high,1.0,quality of delivery,Inbound,Closed Lost
lost to competitor,1,No Discount,324.0,Sports Events,low,0.0,financial control,Inbound,Closed Lost
No Loss,1,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,No Discount,600.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,HALFYEAR20G,768.0,Sports Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,1,ECONOMY75DISCOUNT,150.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
no product fit,32,DISCOUNT50POWER,240.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Lost
lost to competitor,161,FIFTYGIFT,200.0,Corporate Events,low,1.0,operations,Inbound,Closed Lost
No Loss,0,SAVE25LESS,360.0,Corporate Events,low,84.0,operations,Inbound,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,48,ECONOMY50SPECIAL,300.0,Sports Events,low,1.0,operations,Inbound,Closed Won
No Loss,1,ECONOMY75DISCOUNT,14876.0,Corporate Events,high,-1.0,financial control,Unknown,Closed Won
No Loss,0,YEARLY60,960.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,31.0,operations,Inbound,Closed Won
No Loss,0,SAVE25LESS,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,ECONOMY50GIFT,240.0,Sports Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,No Discount,360.0,Unknown,low,0.0,Unknown,Inbound,Demo 1
not target,-1,No Discount,200.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
lost to competitor,1,No Discount,768.0,Corporate Events,mid,1.0,operations,Inbound,Closed Lost
lost to competitor,5,QUARTER25SAVING,576.0,Sports Events,mid,-1.0,operations,Unknown,Closed Lost
No Loss,1,2SEMESTERS20SALE,576.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
no response,9,No Discount,200.0,Sports Events,low,195.0,operations,Inbound,Closed Lost
no response,1,No Discount,200.0,Corporate Events,low,1.0,operations,Outbound,Closed Lost
lost to competitor,5,No Discount,200.0,Sports Events,low,-1.0,financial control,Unknown,Closed Lost
No Loss,0,SAVE25LESS,360.0,Corporate Events,low,2.0,quality of delivery,Inbound,Closed Won
No Loss,0,PROMOTIONCODE,600.0,Corporate Events,mid,0.0,operations,Inbound,Closed Won
price,31,2SEMESTERS20SALE,576.0,Corporate Events,mid,0.0,Unknown,Inbound,Closed Lost
price,31,SAVEMONTH50SPECIAL,300.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Lost
No Loss,0,PROMOTIONCODE,600.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
no response,0,No Discount,200.0,Corporate Events,low,0.0,quality of delivery,Inbound,Closed Lost
price,0,No Discount,200.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
other,6,No Discount,300.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Lost
No Loss,0,25GIFT,360.0,Sports Events,low,-1.0,quality of delivery,Outbound,Closed Won
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Won
other,1,CREDIT75,200.0,Educational Seminars,low,1.0,financial control,Inbound,Closed Lost
lost to competitor,29,No Discount,324.0,Educational Seminars,low,2.0,operations,Inbound,Closed Lost
price,13,No Discount,150.0,Educational Seminars,low,2.0,quality of delivery,Inbound,Closed Lost
other,0,No Discount,1008.0,Unknown,mid,-1.0,financial control,Outbound,Closed Lost
No Loss,0,CUTBACK75SPECIAL,150.0,Sports Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,YEARLY30PROMO,1344.0,Corporate Events,mid,3.0,operations,Inbound,Closed Won
No Loss,1,SAVEMONTH50SPECIAL,300.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
no response,71,ECONOMY50SPECIAL,300.0,Sports Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,DOUBLESEMESTER50,1350.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Won
no response,0,No Discount,360.0,Corporate Events,low,0.0,operations,Outbound,Closed Lost
No Loss,0,ECONOMY75DISCOUNT,150.0,Corporate Events,low,0.0,quality of delivery,Outbound,Closed Won
No Loss,1,ANNUAL60DEAL,960.0,Sports Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,DISCOUNT50POWER,240.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
No Loss,0,YEARLY60,960.0,Educational Seminars,mid,-1.0,quality of delivery,Unknown,Closed Won
no product fit,-1,BIANNUAL20,200.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Lost
lost to competitor,0,No Discount,360.0,Educational Seminars,low,2.0,quality of delivery,Inbound,Closed Lost
No Loss,0,DISCOUNT25QUICK,360.0,Sports Events,low,91.0,operations,Inbound,Closed Won
no response,-1,No Discount,300.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,0,ECONOMY50GIFT,240.0,Sports Events,low,30.0,financial control,Inbound,Closed Won
price,0,No Discount,200.0,Corporate Events,low,0.0,operations,Inbound,Closed Lost
No Loss,0,HALFYEAR20G,768.0,Sports Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,-1,TRIALFREE,450.0,Corporate Events,low,0.0,financial control,Inbound,Closed Won
no response,-1,No Discount,324.0,Corporate Events,low,91.0,quality of delivery,Inbound,Closed Lost
No Loss,0,SAVEMONTH50G,240.0,Educational Seminars,low,0.0,operations,Inbound,Closed Won
not target,-1,No Discount,500.0,Corporate Events,low,0.0,Unknown,Inbound,Closed Lost
price,2,No Discount,200.0,Corporate Events,low,0.0,quality of delivery,Inbound,Closed Lost
lost to competitor,1,No Discount,200.0,Corporate Events,low,0.0,operations,Inbound,Closed Lost
price,9,CUTBACK75SPECIAL,18150.0,Corporate Events,high,165.0,operations,Inbound,Closed Lost
price,0,ECONOMY75DISCOUNT,150.0,Corporate Events,low,1.0,operations,Inbound,Closed Lost
No Loss,0,RENEWYEAR30,1008.0,Sports Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,2.0,operations,Inbound,Closed Won
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,Unknown,Unknown,Closed Won
other,31,No Discount,200.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
no response,0,No Discount,200.0,Educational Seminars,low,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,115,YEARLY30DISCOUNT,1680.0,Corporate Events,mid,28.0,operations,Inbound,Closed Won
no budget,79,No Discount,360.0,Sports Events,low,90.0,operations,Outbound,Closed Lost
No Loss,0,ANNUAL60DEAL,960.0,Corporate Events,mid,-1.0,financial control,Unknown,Closed Won
price,0,YEARLY60,9610.0,Educational Seminars,high,-1.0,operations,Unknown,Closed Lost
no response,0,No Discount,200.0,Sports Events,low,0.0,operations,Inbound,Closed Lost
lost to competitor,80,No Discount,360.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Lost
price,8,No Discount,200.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Lost
other,4,No Discount,200.0,Corporate Events,low,0.0,quality of delivery,Outbound,Closed Lost
lost to competitor,1,No Discount,696.0,Corporate Events,mid,1.0,operations,Inbound,Closed Lost
other,0,No Discount,200.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Lost
No Loss,1,MONTH50REBATE,240.0,Corporate Events,low,2.0,operations,Inbound,Closed Won
No Loss,13,YEARLY60,960.0,Sports Events,mid,0.0,operations,Outbound,Closed Won
no budget,39,No Discount,576.0,Sports Events,mid,3.0,financial control,Inbound,Closed Lost
No Loss,0,HALFSEASON20G,576.0,Sports Events,mid,2.0,financial control,Inbound,Closed Won
